restaurant_id,review
280,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
755,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
161,Suspendisse ornare consequat lectus.
320,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
293,Donec posuere metus vitae ipsum. Aliquam non mauris.
895,Phasellus in felis.
998,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
451,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
527,Etiam faucibus cursus urna. Ut tellus.
205,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
604,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl."
790,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.
34,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
924,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
597,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
826,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.
888,Mauris sit amet eros.
761,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
70,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
742,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
466,Praesent id massa id nisl venenatis lacinia.
778,Aliquam non mauris.
974,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
700,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
538,Nunc purus. Phasellus in felis.
519,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
208,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
242,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
831,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
796,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
830,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
707,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
226,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.
6,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
323,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.
362,Duis bibendum.
213,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla."
662,Cras non velit nec nisi vulputate nonummy.
519,Cras pellentesque volutpat dui.
630,Maecenas pulvinar lobortis est.
247,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit."
174,In hac habitasse platea dictumst.
146,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.
404,Integer a nibh.
124,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
922,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
682,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
566,Etiam faucibus cursus urna.
907,Pellentesque at nulla.
905,Etiam justo. Etiam pretium iaculis justo.
171,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
989,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus."
650,Quisque porta volutpat erat.
189,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.
346,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
535,Integer ac leo. Pellentesque ultrices mattis odio.
786,Pellentesque viverra pede ac diam.
634,Aliquam erat volutpat. In congue.
651,In eleifend quam a odio.
224,Donec semper sapien a libero. Nam dui.
939,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
488,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
541,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
127,In hac habitasse platea dictumst. Etiam faucibus cursus urna.
115,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis."
490,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
815,Morbi non quam nec dui luctus rutrum. Nulla tellus.
264,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
367,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
255,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.
303,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
845,Aliquam erat volutpat. In congue.
834,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
275,Proin risus.
512,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst."
441,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
411,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis."
42,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
116,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
508,Suspendisse potenti. Cras in purus eu magna vulputate luctus.
782,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.
119,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.
40,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
419,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
878,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.
35,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.
174,Duis mattis egestas metus.
451,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus."
955,Proin interdum mauris non ligula pellentesque ultrices.
163,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum."
140,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl."
885,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam."
499,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
805,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
826,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
621,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.
19,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc."
614,In hac habitasse platea dictumst.
496,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
777,Etiam justo. Etiam pretium iaculis justo.
457,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci."
568,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
306,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.
43,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
804,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
447,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
517,Morbi quis tortor id nulla ultrices aliquet.
88,Donec posuere metus vitae ipsum.
129,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat."
885,Pellentesque ultrices mattis odio.
579,Nulla tellus.
719,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
455,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue."
553,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
630,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
763,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
723,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.
988,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
195,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
97,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
8,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
580,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
153,Fusce consequat.
262,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
784,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
74,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.
678,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
994,Suspendisse accumsan tortor quis turpis. Sed ante.
952,Donec ut mauris eget massa tempor convallis.
656,Pellentesque eget nunc.
624,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc."
943,Duis mattis egestas metus.
243,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum."
238,Praesent lectus.
181,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.
954,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
279,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.
73,Vivamus vel nulla eget eros elementum pellentesque.
99,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
270,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
749,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus."
290,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
57,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc."
667,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
305,Vestibulum sed magna at nunc commodo placerat.
966,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.
220,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.
662,Nunc purus. Phasellus in felis. Donec semper sapien a libero.
361,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
218,Etiam faucibus cursus urna.
26,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla."
209,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
493,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
621,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
431,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
65,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
645,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis."
893,Vivamus tortor. Duis mattis egestas metus.
714,Etiam pretium iaculis justo.
556,Morbi vel lectus in quam fringilla rhoncus.
493,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
497,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
837,"Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
362,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.
590,Aenean sit amet justo. Morbi ut odio.
678,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante."
213,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
291,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
26,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.
281,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
