Location Code,County,Area Name,Region,Year Reported ,Number Overweight,Percent Overweight,Number Obese,Percent Obese,Number Overweight or Obese,Percent Overweight or Obese,Grade Level,Number Healthy Weight,Percent Healthy Weight,Sex,Total (Estimated) Number of Students
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,83095,16.7,86016,17.3,169111,33.9,DISTRICT TOTAL,316041,0.634,ALL,498487
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,40721,16.7,38792,15.9,79513,32.6,DISTRICT TOTAL,158010,0.647,FEMALE,244219
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,42374,16.7,47224,18.6,89598,35.2,DISTRICT TOTAL,158031,0.622,MALE,254069
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,47868,16.4,49140,16.8,97008,33.1,ELEMENTARY,188124,0.643,ALL,292572
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,23125,16.2,22763,15.9,45888,32.1,ELEMENTARY,93056,0.651,FEMALE,142943
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,24743,16.5,26377,17.6,51120,34.1,ELEMENTARY,95068,0.634,MALE,149950
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,34144,17.1,36033,18.1,70177,35.2,MIDDLE/HIGH,125124,0.627,ALL,199560
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,17035,17.4,15673,16.0,32708,33.4,MIDDLE/HIGH,63405,0.648,FEMALE,97847
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,17109,16.8,20360,20.0,37469,36.8,MIDDLE/HIGH,61719,0.607,MALE,101679
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2013-2015,82439,16.8,83988,17.1,166427,33.9,DISTRICT TOTAL,311869,0.636,ALL,490360
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2013-2015,40429,16.8,38212,15.9,78641,32.8,DISTRICT TOTAL,155536,0.648,FEMALE,240025
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2013-2015,42010,16.8,45776,18.3,87786,35.0,DISTRICT TOTAL,156333,0.624,MALE,250534
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2013-2015,47145,16.3,47303,16.4,94448,32.7,ELEMENTARY,187007,0.648,ALL,288591
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2013-2015,22715,16.2,21879,15.6,44594,31.7,ELEMENTARY,92342,0.657,FEMALE,140551
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2013-2015,24430,16.5,25424,17.2,49854,33.7,ELEMENTARY,94665,0.639,MALE,148146
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2013-2015,34310,17.2,35996,18.1,70306,35.3,MIDDLE/HIGH,124414,0.626,ALL,198744
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2013-2015,17088,17.5,15867,16.2,32955,33.7,MIDDLE/HIGH,63139,0.645,FEMALE,97890
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2013-2015,17222,17.0,20129,19.9,37351,37.0,MIDDLE/HIGH,61275,0.607,MALE,100947
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2014-2016,81435,16.5,85223,17.3,166658,33.9,DISTRICT TOTAL,309647,0.63,ALL,491503
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2014-2016,40754,16.9,38302,15.9,79056,32.9,DISTRICT TOTAL,155508,0.646,FEMALE,240724
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2014-2016,40681,16.2,46921,18.7,87602,34.9,DISTRICT TOTAL,154139,0.614,MALE,251041
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2014-2016,46417,15.9,47812,16.3,94229,32.3,ELEMENTARY,189887,0.651,ALL,291685
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2014-2016,22993,16.2,21862,15.4,44855,31.5,ELEMENTARY,93641,0.658,FEMALE,142312
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2014-2016,23424,15.7,25950,17.4,49374,33.0,ELEMENTARY,96246,0.644,MALE,149450
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2014-2016,34197,17.3,36526,18.5,70723,35.9,MIDDLE/HIGH,122094,0.62,ALL,196926
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2014-2016,17348,17.8,16096,16.5,33444,34.4,MIDDLE/HIGH,62079,0.638,FEMALE,97303
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2014-2016,16849,16.9,20430,20.5,37279,37.4,MIDDLE/HIGH,60015,0.602,MALE,99693
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2015-2017,82123,16.5,87115,17.5,169046,34.0,DISTRICT TOTAL,312459,0.628,ALL,497546
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2015-2017,41549,17.1,39364,16.2,80913,33.2,DISTRICT TOTAL,156374,0.642,FEMALE,243573
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2015-2017,40574,16.0,47751,18.8,88133,34.7,DISTRICT TOTAL,156085,0.614,MALE,254210
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2015-2017,46846,15.8,48779,16.5,95625,32.3,ELEMENTARY,192408,0.65,ALL,296012
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2015-2017,23488,16.3,22544,15.6,46032,31.9,ELEMENTARY,94500,0.654,FEMALE,144495
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2015-2017,23358,15.4,26235,17.3,49593,32.7,ELEMENTARY,97908,0.646,MALE,151560
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2015-2017,34382,17.4,37297,18.9,71679,36.2,MIDDLE/HIGH,121818,0.616,ALL,197756
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2015-2017,17553,18.0,16540,16.9,34093,34.9,MIDDLE/HIGH,61852,0.633,FEMALE,97712
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2015-2017,16829,16.8,20757,20.7,37586,37.6,MIDDLE/HIGH,59966,0.599,MALE,100110
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2016-2018,80353,16.5,83996,17.2,164349,33.7,DISTRICT TOTAL,309681,0.635,ALL,487687
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2016-2018,40796,17.1,38111,16.0,78907,33.0,DISTRICT TOTAL,153623,0.643,FEMALE,238916
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2016-2018,39557,15.9,45885,18.4,85442,34.3,DISTRICT TOTAL,156058,0.627,MALE,248896
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2016-2018,46004,15.7,46911,16.0,92915,31.8,ELEMENTARY,191245,0.654,ALL,292424
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2016-2018,23082,16.2,21680,15.2,44762,31.4,ELEMENTARY,93845,0.658,FEMALE,142622
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2016-2018,22922,15.3,25231,16.8,48153,32.1,ELEMENTARY,97400,0.65,MALE,149846
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2016-2018,33473,17.4,36175,18.8,69648,36.3,MIDDLE/HIGH,118226,0.616,ALL,191925
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2016-2018,17098,18.1,16027,17.0,33125,35.1,MIDDLE/HIGH,59393,0.631,FEMALE,94125
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2016-2018,16375,16.7,20148,20.6,36523,37.3,MIDDLE/HIGH,58833,0.601,MALE,97892
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2017-2019,81177,16.5,85396,17.3,166573,33.8,DISTRICT TOTAL,311598,0.633,ALL,492256
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2017-2019,41174,17.1,38728,16.1,79902,33.2,DISTRICT TOTAL,153888,0.64,FEMALE,240450
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2017-2019,40003,15.9,46668,18.5,86671,34.4,DISTRICT TOTAL,157710,0.625,MALE,252336
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2017-2019,47040,15.8,48233,16.2,95273,31.9,ELEMENTARY,194292,0.651,ALL,298452
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2017-2019,23485,16.2,22225,15.3,45710,31.4,ELEMENTARY,95270,0.655,FEMALE,145450
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2017-2019,23555,15.4,26008,17.0,49563,32.3,ELEMENTARY,99022,0.646,MALE,153285
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2017-2019,33496,17.5,36470,19.1,69966,36.6,MIDDLE/HIGH,116927,0.612,ALL,191057
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2017-2019,17286,18.6,16176,17.4,33462,35.9,MIDDLE/HIGH,58079,0.624,FEMALE,93075
0,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2017-2019,16210,16.6,20294,20.7,36504,37.3,MIDDLE/HIGH,58848,0.601,MALE,97917
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2010-2012,1514,15.0,1802,17.9,3316,32.9,DISTRICT TOTAL,6563,0.651,ALL,10081
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2010-2012,737,15.0,836,17.0,1573,32.0,DISTRICT TOTAL,3233,0.657,FEMALE,4921
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2010-2012,777,15.1,966,18.7,1743,33.8,DISTRICT TOTAL,3330,0.645,MALE,5163
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2010-2012,855,15.6,895,16.4,1750,32.0,ELEMENTARY,3615,0.661,ALL,5469
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2010-2012,421,16.0,412,15.6,833,31.6,ELEMENTARY,1735,0.659,FEMALE,2633
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2010-2012,434,15.3,483,17.1,917,32.4,ELEMENTARY,1880,0.664,MALE,2831
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2010-2012,799,17.2,769,16.6,1568,33.8,MIDDLE/HIGH,2960,0.638,ALL,4639
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2010-2012,350,15.8,354,16.0,704,31.8,MIDDLE/HIGH,1456,0.658,FEMALE,2213
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2010-2012,449,18.5,415,17.1,864,35.6,MIDDLE/HIGH,1504,0.619,MALE,2430
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2011-2013,1495,16.0,1672,17.8,3167,33.8,DISTRICT TOTAL,6022,0.643,ALL,9365
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2011-2013,746,16.2,718,15.6,1464,31.7,DISTRICT TOTAL,3049,0.661,FEMALE,4613
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2011-2013,749,15.7,954,20.1,1703,35.8,DISTRICT TOTAL,2973,0.625,MALE,4757
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2011-2013,811,15.8,916,17.9,1727,33.7,ELEMENTARY,3307,0.645,ALL,5127
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2011-2013,406,16.1,415,16.5,821,32.6,ELEMENTARY,1632,0.649,FEMALE,2515
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2011-2013,405,15.5,501,19.2,906,34.6,ELEMENTARY,1675,0.64,MALE,2617
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2011-2013,690,16.2,724,17.0,1414,33.2,MIDDLE/HIGH,2742,0.645,ALL,4251
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2011-2013,341,16.2,305,14.5,646,30.7,MIDDLE/HIGH,1413,0.672,FEMALE,2103
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2011-2013,349,16.2,419,19.5,768,35.7,MIDDLE/HIGH,1329,0.618,MALE,2150
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2012-2014,1553,15.5,1701,17.0,3254,32.6,DISTRICT TOTAL,6538,0.654,ALL,9997
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2012-2014,796,15.9,779,15.5,1575,31.4,DISTRICT TOTAL,3331,0.664,FEMALE,5017
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2012-2014,757,15.2,922,18.5,1679,33.7,DISTRICT TOTAL,3207,0.644,MALE,4980
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2012-2014,915,15.5,987,16.8,1902,32.3,ELEMENTARY,3844,0.653,ALL,5887
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2012-2014,468,15.9,473,16.0,941,31.9,ELEMENTARY,1935,0.656,FEMALE,2950
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2012-2014,447,15.2,514,17.5,961,32.7,ELEMENTARY,1909,0.65,MALE,2937
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2012-2014,598,15.0,656,16.4,1254,31.4,MIDDLE/HIGH,2677,0.67,ALL,3996
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2012-2014,298,15.1,255,12.9,553,28.0,MIDDLE/HIGH,1389,0.704,FEMALE,1973
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2012-2014,300,14.8,401,19.8,701,34.6,MIDDLE/HIGH,1288,0.636,MALE,2025
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2013-2015,1573,15.9,1642,16.6,3215,32.5,DISTRICT TOTAL,6432,0.65,ALL,9895
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2013-2015,728,16.4,681,15.4,1409,31.8,DISTRICT TOTAL,2917,0.658,FEMALE,4433
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2013-2015,845,15.5,961,17.6,1806,33.0,DISTRICT TOTAL,3515,0.643,MALE,5467
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2013-2015,979,15.6,997,15.9,1976,31.6,ELEMENTARY,4100,0.655,ALL,6260
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2013-2015,474,16.0,445,15.0,919,31.0,ELEMENTARY,1967,0.664,FEMALE,2962
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2013-2015,505,15.3,552,16.8,1057,32.1,ELEMENTARY,2133,0.648,MALE,3292
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2013-2015,687,16.3,669,15.9,1356,32.1,MIDDLE/HIGH,2782,0.66,ALL,4215
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2013-2015,357,17.3,267,12.9,624,30.2,MIDDLE/HIGH,1408,0.683,FEMALE,2061
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2013-2015,330,15.3,402,18.7,732,34.0,MIDDLE/HIGH,1374,0.638,MALE,2154
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2014-2016,1716,16.6,1761,16.2,3477,32.8,DISTRICT TOTAL,6826,0.645,ALL,10583
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2014-2016,888,17.4,762,14.9,1650,32.2,DISTRICT TOTAL,3359,0.656,FEMALE,5120
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2014-2016,873,16.0,954,17.5,1827,33.5,DISTRICT TOTAL,3467,0.636,MALE,5451
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2014-2016,991,15.7,1033,16.3,2024,32.1,ELEMENTARY,4101,0.651,ALL,6300
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2014-2016,492,16.4,456,15.2,948,31.7,ELEMENTARY,1965,0.656,FEMALE,2995
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2014-2016,499,15.1,577,17.4,1076,32.5,ELEMENTARY,2136,0.646,MALE,3307
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2014-2016,760,17.9,676,15.9,1436,33.8,MIDDLE/HIGH,2714,0.639,ALL,4247
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2014-2016,396,18.7,301,14.2,697,32.9,MIDDLE/HIGH,1387,0.655,FEMALE,2118
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2014-2016,364,17.1,375,17.6,739,34.7,MIDDLE/HIGH,1327,0.624,MALE,2127
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2015-2017,1839,16.6,1797,16.2,3636,32.9,DISTRICT TOTAL,7111,0.643,ALL,11059
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2015-2017,936,17.0,836,15.2,1772,32.2,DISTRICT TOTAL,3574,0.65,FEMALE,5498
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2015-2017,903,16.2,961,17.3,1864,33.5,DISTRICT TOTAL,3537,0.636,MALE,5561
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2015-2017,1050,15.3,1109,16.1,2159,31.4,ELEMENTARY,4527,0.659,ALL,6869
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2015-2017,533,15.6,526,15.4,1059,31.0,ELEMENTARY,2259,0.661,FEMALE,3418
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2015-2017,517,15.0,583,16.9,1100,31.8,ELEMENTARY,2268,0.656,MALE,3457
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2015-2017,780,18.8,666,16.1,1446,34.9,MIDDLE/HIGH,2585,0.625,ALL,4136
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2015-2017,403,19.5,310,15.0,713,34.4,MIDDLE/HIGH,1311,0.633,FEMALE,2071
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2015-2017,377,18.2,356,17.2,733,35.4,MIDDLE/HIGH,1274,0.616,MALE,2068
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2016-2018,1831,16.3,1801,16.0,3632,32.3,DISTRICT TOTAL,7305,0.65,ALL,11238
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2016-2018,907,16.5,824,15.0,1731,31.5,DISTRICT TOTAL,3621,0.658,FEMALE,5503
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2016-2018,924,16.1,977,17.0,1901,33.1,DISTRICT TOTAL,3684,0.641,MALE,5747
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2016-2018,1090,15.4,1099,15.5,2189,30.9,ELEMENTARY,4725,0.666,ALL,7095
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2016-2018,528,15.3,505,14.6,1033,30.0,ELEMENTARY,2326,0.675,FEMALE,3446
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2016-2018,562,15.4,594,16.3,1156,31.7,ELEMENTARY,2399,0.658,MALE,3646
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2016-2018,728,17.8,672,16.4,1400,34.2,MIDDLE/HIGH,2586,0.631,ALL,4098
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2016-2018,371,18.2,315,15.5,686,33.7,MIDDLE/HIGH,1296,0.637,FEMALE,2035
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2016-2018,357,17.3,357,17.3,714,34.6,MIDDLE/HIGH,1290,0.625,MALE,2064
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2017-2019,1808,16.3,1809,16.3,3617,32.6,DISTRICT TOTAL,7149,0.644,ALL,11101
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2017-2019,904,16.6,823,15.1,1727,31.6,DISTRICT TOTAL,3570,0.654,FEMALE,5459
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2017-2019,904,16.0,986,17.5,1890,33.5,DISTRICT TOTAL,3579,0.634,MALE,5645
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2017-2019,1106,15.6,1107,15.6,2213,31.2,ELEMENTARY,4651,0.656,ALL,7090
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2017-2019,527,15.2,513,14.8,1040,30.0,ELEMENTARY,2313,0.668,FEMALE,3463
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2017-2019,579,16.0,594,16.4,1173,32.3,ELEMENTARY,2338,0.645,MALE,3625
10000,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2017-2019,689,17.3,694,17.4,1383,34.7,MIDDLE/HIGH,2492,0.626,ALL,3981
